Num,VOLTAGE,KVA,YOM,Age,CO,CO2,H2,CH4,C2H4,C2H6,C2H2,H2O,ACIDITY,BREAKDOWN,FURFURAL,DDF,Label,
127,66000,,,,178,2843.8,5.6,4.9,4.2,1.5,0,11,0.026,75,0.097,0.02,1,
30,33000,1500,1941,67,113.5,1603.5,6.8,4.7,2,6.7,2.6,10,0.02,75,0.021,0.018,1,
21,33000,20000,1959,48,176.9,1142,3.8,1.2,22.1,0,0,10,0.018,66,0.061,0.026,1,
60,33000,1000,,,282.4,1726.4,32.5,5.8,7.2,2.9,0.4,7,0.011,75,0.028,0.01,1,
123,66000,,1992,13,161.4,2247.8,9.4,2.1,3.1,2.1,0,7,0.029,55,0.065,0.046,1,
50,33000,6300,1998,8,104.5,1288.2,8.2,2.7,1.1,5.1,0.1,8,0.01,75,0.119,0.01,1,
73,66000,20000,1986,21,143.6,1034.2,13.8,6.6,2.2,12.1,0,5,0.01,68,0.007,0.01,1,
3,33000,6250,1995,12,93.4,917.4,13.2,2.9,1.3,6.3,0.8,6,0.01,68,0,0.019,1,
140,33000,1000,1992,8,110,1047,15,1,1,0,0,5,0.023,75,0.01,0.017,1,
138,66000,53,1994,12,207.6,2039.7,52.6,3.2,1,2,0,15,0.01,59,0.008,0.016,1,
149,66000,6250,2000,8,131.1,1575.2,107,2.4,0.8,3.9,0,4,0.01,75,0.012,0.014,1,
74,66000,20000,1986,21,120.3,920,16.1,1.5,0.7,0.7,0.4,6,0.01,75,0.005,0.014,1,
91,33000,25,1987,16,64.9,767,10.3,1.8,1.3,0.3,0,8,0.012,60,0.071,0.029,1,
156,66000,90,1997,6,35.4,1420.1,4,1.5,1,1.4,0.8,13,0.022,75,0.019,0.026,1,
105,66000,2000,1993,13,224.1,1544.2,5.2,1.5,15.1,0.5,0,4,0.01,75,0.008,0.008,1,
109,66000,130,1984,21,150.9,1844.2,5.5,1.8,0.5,0.5,0,14,0.013,44,0.038,0.017,1,
39,22000,3000,1975,28,35.6,1410.7,0,27.6,3.7,1.3,0.6,5,0.022,75,0.137,0.025,1,
154,66000,,1996,9,91.3,1326.8,4.1,1.7,2.1,0.8,0,7.5,0.01,75,0,0.007,1,
169,33000,1000,1992,13,66,918,10,1,0.4,0.4,0,5,0.021,69,0.041,0.014,1,
143,66000,10000,1952,55,228.8,3427.7,21.9,6.1,2.2,14.8,0,13,0.012,54,0.034,0.042,1,
